Title	Lyrics	Value
'Tis May upon the mountain (Samuel Reay)	"'Tis May upon the mountain, 'Tis May- upon the lea; And in the flood, and in the wood, And with the bird, the bird and bee, And with the bird and bee, The trees are weaving rainbows, With sunbeams, buds and dew, the trees are weav- ing rainbows, With sun- beams, buds and dew, With sun- beams, buds and dew, With sun- beams, buds and dew, If of May I sing, 'tis but to bring, My ear- liest song to you, 'tis but to bring my ear- liest song, my ear- liest song to you. The cuc- koo now is telling Her name to ev'- ry grove: Each flower holds up, holds up a dewy cup, Lipful of life, of life and love, Lipful of life and love. The fra- grant breath of morning, Breathes hopes and fan- cies new, The fragrant breath of morning, Breathes hopes and fancies new, The fra- grant breath of morning, Breathes hopes and fancies new; If of them I sing, 'tis but to bring, My ear- liest song to you, 'tis but to bring my ear- liest song, my earliest song to you."	0.760827996
10 catches (Henry Purcell)	"Sir Walter, enjoying his Damsel one night, He tickl'd and pleas'd her to so great a height, that she could not contain t'wards the end of the matter, but in Rapture cry'd out, O sweet Sir Walter, O sweet Sir Walter, O sweet Sir Walter, O sweet Sir, sweet Sir Walter, O switter swatter switter swatter switter swatter switter swatter switter swatter. He that drinks is Immortal, he that drinks is Immortal, and can ne'er decay, For wine still supplys, for wine still supplys what Age wears away, how can he be Dust, how can he be Dust that moistens his Clay. If all be true that I do think, There are Five Reasons, there are Five Reasons we should Drink: Good wine, a Friend or being Dry, Or least, we should be by and by, Or any other Reason, or any other Reason; Or any other Reason why, any Reason why. Here's a health, a health, Pray let it pays about, A health that ne'er shall cease Till all our Wine is out. Therefore drink away, And never let it stand, But ply it closely round From hand to hand. And eagerly, and bravely, With courage thus persue it, For tis a health, a health, To honest Ruddy Roger Hewett. Of all all the Instruments, all all all the Instruments that are, none none none none none none none none none none none with the Viol can compare. Mark mark mark mark how the strings, how the strings their order keep with a whet whet whet whet whet whet whet whet whet whet whet whet whet and a sweep sweep sweep, But above all all all all all all all, this still abounds, With a zingle zingle zingle zingle zingle zingle zingle zingle zing, And a zit zan zounds. Room, room, room, room, room for th'express, At length here it comes; Limrick's our own, Limrick's our own, be it known, be it known to all Grums. Hark! hark! hark! The Guns of the tower ring, ring it in peals, we'll drink round the Bonfires, we'll drink round the Bonfires. Huzza, Huzza to the Bells, To our conquering Army loud Praises, loud Praises let's sing, and now Monsieur French man, and now Monsieur French man have at you, have at you next Spring. When V and I together meet, We make up 6 in House or Street, Yet I and V may meet once more And then we 2 can make but 4, But when that V from I am gone, Alas poor I can make but one. Tis women makes us love, 'tis Love that makes us sad, 'tis sadness makes us drink and drinking makes us mad. A Health, a Health to the Nut brown Lass with the Hazle Eyes She that has good Eyes has also good Thighs, let it pays, let it pays As much to the livelier Gray they're as good by night as day She that has good Eyes has also good Thighs, drink away, drink away I'll pledge Sir, i'll pledge what ho some wine here some wine to mine And to thine, to thine and to mine the Colours are Divine. But Oh the black Eyes, the black give me as much again and let it be Sack She that has good Eyes has also good Thighs and a better knack. Once in our lives, let us drink to our Wives, tho' their numbers be but small; Heav'n take the best, and the Devil take the rest, and so we shall get rid of them all; To this hearty wish, let each Man take his dish, and drink, drink, till he fall."	0.999993094
1914 (James Crawford)	"War broke and now the winter of the world with perishing great darkness closes in. The foul tornado centered at Berlin is over all the width of Europe whirled, rending the sails of progress rent or furled are all art's ensigns, verse wails. Now begin faminesof thought and feeling, love's wine's thin, the grain of human Autumn rots down hurled. For after Spring had bloomed in early Greece, and Summer blazed her glory out with Rome. An Autumn softly fell a harvest home. A slow grand age and rich with all increase but now for us wild winter and the need of sowings for new Spring, and blood for seed."	0.43621951
A Century's Penultimate (Charles Wood)	"Resplendent beams are kindling in the East �?Awake, ye nations, to a nobler day. From port to port, from spire to spire the ray lights upon commerce freed and powers re leased, and powers released, from spire to spire the ray lights upon commerce freed and powers re leased, on commerce freed and powers released. Ye, late returned from England's royal feast, pass friend to friend a long th'Atlantic breeze, join hearts with hearts while threads that knit the seas flash love and joy of brotherhood increased, flash love and joy, and joy of brotherhood increased. So be this time remem bered, remem bered in the close and sunset of our age, our age which ebbs amain, ebbs amain. But thou, Victoria, may'st thou long sustain the burden which thy people's love bestows, the burden of a reign so rich ly blest, of all our reigns the long est and the best!"	0.981419071
A Drinking Song (Julius Benedict)	"Drink, drink, drink! and fill the night with mirth, Drink, drink, drink! Let us have a mighty measure; Drink, and fill the night with mirth, Till we quite forget the earth, And soar, and soar In the world, the world of plea- sure, And soar in the world, the world of plea- sure. Drink, and let a health go round, 'Tis the drinker's noble duty, To the eyes that shine and wound, To the eyes that shine and wound, To the mouths that bud in beau- ty, in beau- ty. Drink, drink, fill the night with mirth, Drink, drink, fill the night with mirth. Fill, fill, Fill! Fill the deepmouthed glasses high! Fill, fill, fill! Let them with the champagne tremble. Fill the deepmouthed glasses high! Like the loose wrack in the sky, Like the wrack, the loose wrack in the sky, Like the loose wrack in the sky, When the four wild winds assemble, the winds assem- ble. Here's to all the love on earth; Love, the young man's. old man's treasure. Drink, and fill your throats with mirth. Drink, and fill your throats with mirth, Drink, and drown the world in plea- sure, in plea- sure, Drink, drink, fill the night with mirth, Drink, drink, fill the night with mirth."	0.429616179
A Fairy town (Charles Hubert Hastings Parry)	"While the sun was going down, There arose a fairy town. Not the town I saw by day, Cheerless, joyless, dull and gray, But a far, fan- tastic place, Builded with ethereal grace, Shimmering in a tender mist That the slanting rays had kissed Ere they let their latest fire Touch with gold each slender spire. There no men and women be; Mermen, maidens of the sea, Combing out their tangled locks, Sit and sing among the rocks. As their ruddy harps they sound, With the seaweed twisted round, In the shining sand below See the city downward go !"	0.634466444
A Finland love song (Henry Hiles)	"Nor told my fleet reindeer The way I wished to go; But quick he bounded forth, For well my reindeer knew I've but one path on earth That path which leads to you. When summer brings, at last, Her sun that never, never sets, Than summer sun more true, more true, 'Twill never set again."	0.333360011
A Night Song (Julius Benedict)	"'Tis night, the hour of hours, When Love lies down with fold- ed wings, By Psyche in her star- less bowers, And down his fatal arrows flings down his fatal, his fatal ar- rows flings, Those bow'rs where not a sound is heard, Save only from the bridal bird. Love is here! Love is here! Love is here! Love is here! Love is here! 'Tis night! the moon is on the stream; Bright spells are on the sooth- ed sea; And Hope, the child, is gone to dream, Of plea- sures which may never be, Of pleasures which may ne- ver be! And now is haggard Care asleep, Now doth the wi- dow Sorrow smile; And now is haggard Care asleep, Now doth the widow Sorrow smile; And slaves are hush'd in slumber deep, Forgetting grief and toil awhile, And slaves are hush'd in slum- ber deep, For- get- ting grief, forgetting grief awhile!"	0.484825665
A Poison Tree (Barbara Rosen)	"Angry! I told my wrath, my wrath did end. Angry, angry at my foe: I told it not, told it, told it, told it not, my wrath did grow. my tears, my tears. And with soft deceitful wiles. And it grew both day and night, Till it bore an apple bright, an apple bright. My foe beheld, beheld it^shine. He knew, knew that it was mine, was mine. Into my garden, into my garden stole. When the night had veiled the pole In the morning glad I see my foe, my foe, my foe, my foe, my foe outstretched beneath the"	0.039469626
"A Spring Song, Op. 21 no. 2 (Charles Hubert Hastings Parry)"	"It was a lo- ver and his lass, With a hey and a ho, and a hey no ni no! That o'er the green corn- field did pass In the springtime, the only pret- ty ringtime, When birds do sing Hey ding a ding, Sweet lovers love the Spring. Between the acres of the rye These pretty country folks would lie: This carol they began that hour, How that life was but a flow'r, How that life was but a flow'r. And therefore take the present time With a hey and a ho, and a hey no ni no! For love is crown- ed with the prime, In springtime, the only pret- ty ringtime, When birds do sing Hey ding a ding, Sweet lovers love the Spring."	0.860884814
A Spring song (Ciro Pinsuti)	"1. I sat be- neath the Abeles old, The meads were shot with green and gold, And under- neath my feet there rolled The little silv'ry Gad: The cu- ckoo and the thrush were sing- ing, sing- ing, singing, The sheep bells on the hills were ring- ing, ring- ing, ringing, All life was gay and glad! All life was gay and glad! All life was gay and glad! all life was gay, was gay and glad! 2. The busy babbling waterfall Melodiously kept time to all, The rich May music mystical, Toned to the fresh'ning air; Each rip'- ning bud that open, that o- pen, o- pen flies, Seemed gasp- ing with a gay, a gay sur- prise, To greet the world so fair, to greet a world so fair, to greet a world so fair! a world so fair, a world so fair! 3. O love ly, lovely, lovely Spring! O robed in sunbeams! bridegroom, king! Breathe on my heart and bid me sing, Or rather praise and pray; For em- blems are these sunny, these sun- ny, sun- ny hours, These gol- den meads, and stream, and flowers, Of everlasting May! of everlasting May, of everlasting May, of ever- lasting May!"	0.970821761
A Welsh lullaby (Charles Hubert Hastings Parry)	"Sleep, sleep, sleep, sleep ! All nature now is sleeping Her sons in sleep, their eyelids close, All living things in sweet repose are sleeping, sleep  --  ing ! Sleep, baby, sleep ! Peace o'er thee watch be keeping If from my bosom thou art torn, Low in grave I'll lie for- lorn. Sleep-  ing, Ah ! sleep-  ing, sleeping."	0.337865143
A chieftain to the Highlands bound (Robert Lucas Pearsall)	"A chieftain, to the Highlands bound, Cries, ""Boatman, do not tarry! And I'll give thee a sil- ver pound, To row us o'er the ferry."" ""Now, who be ye would cross Lochgyle This dark and stormy wa- ter?"" ""O I'm the chief of Ul- va's isle, And this Lord Ullin's daughter."" By this the storm grew loud apace, The waterwraith was shrieking; And in the scowl of heaven each face Grew dark as they were speaking. But still as wilder blew the wind, And as the night grew drear- er, Adown the glen rode arm- ed men, Their trampling sounded nearer. And still they rowed amidst the roar Of waters fast prevailing; Lord Ullin reached that fa- tal shore; His wrath was changed to wailing; For sore dismayed, through storm and shade, His child he did disco- ver; One lovely hand she stretched for aid, And one was round her lover."	0.354198608
A country pair (Thomas Weelkes)	"A country pair were walking all alone, were walking all alone, And wantonly were talking to each one, And wantonly were talking, And wantonly were talking to each one, And wantonly were talking to each one: Quoth she, I will not hate nor love thee, I will not hate nor love thee; Ah me, Ah me, what wilt thou do? what wilt thou do? Take time and thou shalt prove me, Take time and thou shalt prove me, Alas! I know not how, I know not how. What tho' I wed, I am thy friend, What tho' I wed, I am thy friend, I am thy friend, thy friend, Then kiss me, Kate, and so an end, Then kiss me, Kate, kiss me, Kate, Then kiss me, Kate, kiss me, Kate, Then kiss me, Kate, kiss me, Kate, and so an end, What tho' I wed, I am thy friend, What tho' I wed, I am thy friend, What tho' I wed, I am thy friend, Then kiss me, Kate, and so an end, Then kiss me, Kate, Then kiss me, Kate, and so an end, an end, Then kiss me, Kate, and so an end, and so an end."	0.899162725
A dialogue between Charon and Orpheus (Henry Purcell)	"Haste, haste gentle Charon haste, I prithee come, And waft me to the blest Elysium, Through whose cool shade with wand'ring souls I'll flee Till I have found the fair Eurydice. Sure he's asleep and hears me not, So ho! so ho! Awake dull man, awake! thou dost not know The pains that parted lovers undergo. I prithee come and see, 'Tis Orpheus calls. For pity's sake let me no longer stay, Each minute seems to be a lasting day. Fear not, the winds shall cease, I'll charm their rage to gentle calms of peace. Be still, still, be still, ye proud waves and your fury give o'er, Retire all ye winds, and oppose them, oppose them no more; In the dark, hollow caverns your revels go keep, Then void of disturbance, then void of disturbance the billows may sleep; And when they awake they'll be calm and appear As gentle as if the great Pluto were here."	0.178710135
A doleful deadly pang (Nicholas Strogers)	"A doleful deadly pang consumes my pining heart, which beauty's wounding shot renews with still increasing smart. Alas, I sigh and sob, I will go plead for life. Love's vapours that distil to tears, in drowning eyes be rife. Oh pity me, I die, Oh pity me, I die, I die, I die, I die, I die, I die, I die."	0.153857542
