Title	Lyrics	Value
1-800-273-8255	I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine Who can relate? I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine I don't wanna be alive I don't wanna be alive I just wanna die today I just wanna die I don't wanna be alive I don't wanna be alive I just wanna die And let me tell you why All this other **** I'm talkin' 'bout they think they know it I've been praying for somebody To save me, no one's heroic And my life don't even matter I know it I know it I know I'm hurting deep down but can't show it I never had a place to call my own I never had a home Ain't nobody callin' my phone Where you been? Where you at What's on your mind? They say every life precious But nobody care about mine I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine Who can relate? I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine I want you to be alive I want you to be alive You don't gotta die today You don't gotta die I want you to be alive I want you to be alive You don't gotta die Now let me tell you why It's the very first breath When your head's been drownin' under water And it's the light that's in the air When you're there chest-to-chest with a lover It's holding on though the roads long Seeing light in the dark, yeah, these things And when you stare at your reflection Finding hope in who it is I know that you'll thank God you did I know where you been Where you are, where you goin' I know you're the reason I believe in life What's the day without a little night? I'm just tryna shed a little light It can be hard It can be so hard But you gotta live right now You got everything to give right now I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine Who can relate? I've been on the low I been taking my time I feel like I'm out of my mind It feel like my life ain't mine I finally wanna be alive I finally wanna be alive I don't wanna die today I don't wanna die I finally wanna be alive I finally wanna be alive I don't wanna die I don't wanna die(I don't wanna die) I just wanna leave I just wanna leave Pain don't hurt the same, I know The lane I travel feels alone But I'm moving 'til my legs give out And I see my tears melt in the snow But I don't wanna cry I don't wanna cry anymore I wanna feel alive I don't even wanna die anymore Oh I don't wanna I don't wanna I don't even wanna die anymore	1
10,000 Hours (Piano)	Do you love the rain, does it make you dance When you're drunk with your friends at a party? What's your favorite song, does it make you smile? Do you think of me?  When you close your eyes, tell me, what are you dreamin'? Everything, I wanna know it all  I'd spend ten thousand hours and ten thousand more Oh, if that's what it takes to learn that sweet heart of yours And I might never get there, but I'm gonna try If it's ten thousand hours or the rest of my life I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)  Do you miss the road that you grew up on? Did you get your middle name from your grandma? When you think about your forever now, do you think of me?  When you close your eyes, tell me, what are you dreamin'? Everything, I wanna know it all  I'd spend ten thousand hours and ten thousand more Oh, if that's what it takes to learn that sweet heart of yours And I might never get there, but I'm gonna try If it's ten thousand hours or the rest of my life I'm gonna love you (Ooh, ooh-ooh, ooh, ooh) I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)  Ooh, want the good and the bad everything in between Ooh, gotta cure my curiosity Ooh, yeah  I'd spend ten thousand hours and ten thousand more Oh, if that's what it takes to learn that sweet heart of yours And I might never get there, but I'm gonna try If it's ten thousand hours or the rest of my life I'm gonna love you (Ooh, ooh-ooh, ooh, ooh) I'm gonna love you (Ooh, ooh-ooh, ooh, ooh) Yeah And I... I'm gonna love you I'm gonna love you	1
18	I got a heart and I got a soul Believe me, I use them both We made a star, being the false one I know Baby, I don't want to feel alone So kiss me where I lay down My hands, pressed through your cheeks A long way from the playground I have loved you since we were 18 Long before we both thought the same thing To be loved, and to be in love All I can do to say that These arms we made for holding you I want a love like you made me feel When we were 18 We took a chance God knows I tried Yet all along I knew we'd be fine. So pour me a drink oh love Let's split the night wide open And we'll see everything we can Living love is in slow motion, motion, motion So kiss me where I lay down My hands, pressed through your cheeks A long way from the playground I have loved you since we were 18 Long before we both thought the same thing To be loved, and to be in love All I can do to say that These arms are made for holding you I want a love like you made me feel When we were 18 When we were 18, oh oh When we were 18 So kiss me where I lay down My hands, pressed through your cheeks A long way from the playground I have loved you since we were 18 Long before we both thought the same thing To be loved, and to be in love All I can do to say that These arms we made for holding you I want a love like you made me feel When we were 18 I want a love like you made me feel When we were 18 I want a love like you made me feel When we were 18	1
19	Beauty in your way Beauty in your way I could feel, I could feel, I could feel That I'm in your way 'Cause you don't Even bother To turn and look my way (no, no) Is the crowd way too big for you to notice me? Would you care if I go if I leave, If I walk away? Did you know It's been you Ever since I was sixteen? Gettin' hot In your car We were turning seventeen Wasting youth Our excuse We were only eighteen Now, one year later You forgot about me Beauty in your way Beauty in your way Beauty in your way Beauty in your way I could feel, I could feel, I could feel There's someone else Yeah I know, Yeah I know, Yeah I know 'Cause you ain't yourself (no) Yeah we used to Make fun of their stupid lookin' sneakers And you know, it's a shame that we both turned out like this Did you know It's been you Ever since I was sixteen? Gettin' hot In your car We were turning seventeen Wasting youth Our excuse We were only eighteen Now, one year later You forgot about me Beauty in your way Beauty in your way Beauty in your way Beauty in your way I could feel, I could feel That we're losing touch I could feel, I could feel You're forgetting us I could feel, I could feel That we're losing touch I could feel, I could feel You're forgetting us Did you know It's been you Ever since I was sixteen? Gettin' hot In your car We were turning seventeen Wasting youth Our excuse We were only eighteen Now, one year later You forgot about me Beauty in your way Beauty in your way Beauty in your way(if you forgot about me If you forgot about me) Beauty in your way Beauty in your way Beauty in your way	1
1996	Ten past three in the afternoon In nineteen ninety-six an eight pound baby arrived That was me I don't know why I was brought to life But I swear that I'm the luckiest girl alive to be Part of this family And now I miss the times when you'd hold my hand When I'm crossing the road You'd never let me fall until it was time for you to let me go And who knows when you're old and grey Who we're gonna grow up to be But every day I love you more You did it all for me I knew my best friend by the age of three And she grew up watching episodes of Lizzy McGuire with me On TV Oh, we used to share our secrets Didn't care about what we would say But when it got embarrassing, I'd let you in And now I want to go back to when We dressed up and we put on a magic show And I bought you around but you never frowned Never wanted to go home And who knows when you're old and grey Who we're gonna grow up to be But every day I love you more You did it all for me I won't let these moments fade away It's cause of you I'm who I am today Little miss from ninety-six And how I miss the times when you'd hold my hand When I'm crossing the road You'd never let me fall until It was time for you to let me go And who knows when you're old and grey Who you're gonna grow up to be But every day I love you more You did it all for me Every day I love you more You did it all for me 	1
2 Much	"Injustice anywhere is a threat to justice everywhere Maybe I stayed too much maybe not long enough Funny how I forget to blink When you let down your hair dancing like no ones there I'm know I'm where I'm s'posed to be Say ""Love you"" under my breath More times than you can digest Music every time I hear your name oh Your head's layin' right on my chest Sun's up but I still ain't got no rest Don't wanna close my eyes I'm scared I'll miss too much Don't wanna fall asleep I'd rather fall in love When I can't feel you I feel out of touch Two seconds without you's like two months Don't wanna close my eyes I'm scared I'll miss too much Don't wanna fall asleep I'd rather fall in love 'Cause eternity with you ain't long enough Two seconds without you's like two months And that's too much Love the way you love your mom Take on all your friends problems Still somehow stop the world for us oh I still relieve that second I made my biggest blessing Prayed for you look what God has turned Say ""Love you"" under my breath More times than you can digest Music every time I hear your name oh Your head's layin' right on my chest Sun's up but I still ain't got no rest Don't wanna close my eyes I'm scared I'll miss too much Don't wanna fall asleep I'd rather fall in love When I can't feel you I feel out of touch Two seconds without you's like two months Don't wanna close my eyes I'm scared I'll miss too much Don't wanna fall asleep I'd rather fall in love 'Cause eternity with you ain't long enough Two seconds without you's like two months And that's too much"	1
2 soon	Drank too much Got the sickness Pray to god and his son for forgiveness Same crew but Another mistress Every day every night getting wasted But i miss you What did i do **** it up, laugh it off and i lost you If i pull through Is it too soon Turn it up, close my eyes, and i'm with you Yo Marvin Stop calling Sad Iverson is ballin In the corner of a room by himself You are nothing but an empty shell Every night he going down to hell Fake love in a **** hotel Can't believe how far he fell You weak on the floor so you call her cell “How you been” “How you doing” You been good I been drinking Way too much You think that i'd be Over u over u over u 8 calls, all you But i think about it everyday Yeah i never missed her anyways Yeah i never missed her anyways Drank too much Got the sickness Pray to god and his son for forgiveness Same crew but Another mistress Every day every night getting wasted But i miss you What did i do **** it up, laugh it off and i lost you If i pull through Is it too soon Turn it up, close my eyes, and i'm with you Call me up Stay over and we’ll call it love Don’t matter if it ***** me up The alcohol is not enough **** pride And the other guy I cried I don't remember why Tonight I'm a try to hide No slide Get frostbite 8 calls, all you 8 ball, all you Yeah i never missed her anyways Yeah i never missed her anyways Drank too much Got the sickness Pray to god and his son for forgiveness Same crew but Another mistress Every day every night getting wasted But i miss you What did i do **** it up, laugh it off and i lost you If i pull through Is it too soon Turn it up, close my eyes, and i'm with you Drank too much Got the sickness Pray to god and his son for forgiveness Same crew but Another mistress Every day every night getting wasted But i miss you What did i do **** it up, laugh it off and i lost you If i pull through Is it too soon Turn it up, close my eyes, and i'm with you	1
2002 (Acoustic)	I will always remember The day you kissed my lips Light as a feather And it went just like this No, it's never been better Than the summer of 2002 Dancing on the hood in the middle of the woods On an old Mustang, where we sang Songs with all our childhood friends And it went like this, say Oops, I got 99 problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs Now we're under the covers Fast forward to eighteen We are more than lovers Yeah, we are all we need When we're holding each other I'm taken back to 2002 Dancing on the hood in the middle of the woods Of an old Mustang, where we sang Songs with all our childhoods friends And it went like this, Oops I got 99 problems singing bye, bye, by Hold up, if you wanna go and take a ride with me， Better hit me, baby, one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love	1
2002	I will always remember the day you kissed my lips Light as a feather And it went just like this No, it's never been better Than the summer of 2002 We were only eleven But acting like grownups Like we are in the present, drinking from plastic cups Singing love is forever and ever Well, I guess that was true Dancing on the hood in the middle of the woods On an old Mustang, where we sang Songs with all our childhood friends And it went like this, say Oops I got 99 problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs Now we're under the covers Fast forward to eighteen We are more than lovers Yeah, we are all we need When we're holding each other I'm taken back to 2002 Yeah Dancing on the hood in the middle of the woods On an old Mustang, where we sang Songs with all our childhood friends And it went like this, say Oops I got 99 problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love Dancing on the hood in the middle of the woods On an old Mustang, where we sang Songs with all our childhood friends Oh, now Oops I got 99 problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me On the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love, love, love	1
2021	2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you Ooohh  2021, 2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you  Do you want to fall in love? We don’t gotta make it so hard I don’t mean to act so cold It’s just an excuse to let you go You’re just staring at the window I just want to kiss you from the driver’s seat Baby you’re invaluable to me I know sometimes I don’t show it But I know we’ll get through it  2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you Ooohh  2021, 2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you  I know who you really are Baby I’ll give you it all If I could do something just to prove to you I’m still good for you If you don’t leave me, don’t leave me Ohh huhh  Never on time but I’m always there when you call Stay on my mind through summer，winter, spring and fall I don’t never wanna make you feel like you’re a maybe, baby  2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you Ooohh  2021, 2021 We could have some fun, maybe we could run Or I could be the one Baby you’re the one Think it’s time to go hard for your loving Baby I love you I don’t want no one else but you	1
