Title	Lyrics	Value
"& Nobel Prize Winner), Charles Gate Dawes (V.P. of U.S.A., Carl Sigman - It's All In The Game"	"Many a tear has to fall but it's all in the game All in the wonderful game that we know as love. You have words with him and your future's looking dim, but these things your hearts can rise above Once in a while he won't call but it's all in the game Soon he'll be there at your side with a sweet bouquet, And he'll kiss tour lips and caress your waiting finger tips; And your hearts will fly away."	0.862694225
"'Non Dignus' Traditional before 1871, From Landshuter Gesangbuch 1777 - Oh, Lord I Am Not Worthy"	"Oh Lord I am not worthy That Thou should'st come to me; But speak the word of comfort, My spirit healed shall be."	0.661379519
(Unknown) Arrangement Larry Johnson 2011 - I'm Too Far From Where I Started	I'm to far from where I start ed and to close to where I'm go ing to think of ev er turn ing a round for my eyes are fixed on Je sus and I love this nar row way this old world has no a trac tion I'm heav en bound. bound.	0.738399954
(unknown) Maranatha Music Arrangement_ Larry Johnson 2011 - In His Time	in his time in his time he makes all things beau ti full in his time Lord please show me ev ery day as you're teach ing me your way that you do just what you say in your time In Your time in Your time You make all things beau ti full in Your time Lord my life to you I bring may each song I have to sing be to you a love ly thing in your time	0.583515083
"1952, Jerry Lieber & Mike Stoller - Kansas City"	"I'm go in to Kan sas ci ty Kan sas ci ty here I come I' go in toa Kan sas ci ty Kan sas ci ty here I come They got a cra zy way of lov in there and I'm gon na get me some I'm gon na be stand in' on the cor ner Twelvth street and vine I'm gon na be stand in' on the cor ner Twelvth street and vine with my kan sas ci ty ba by and a bot tle of kan sas ci ty wine Well, I might take a train I might take a plane but if I have to walk I'm Im go in to Kan sas ci ty Kan sas ci ty here I come They got a cra zy way of lov in there and I'm gon na get me some I'm go in' to Kan sas ci ty Kan sas ci ty here I come I' go in toa Kan sas ci ty Kan sas ci ty here I come They got a cra zy way of lov in there and I'm gon na get me some I'm gon na be stand in' on the cor ner Twelvth street and vine I'm gon na be stand in' on the cor ner Twelvth street and vine with my kan sas ci ty ba by and a bot tle of kan sas ci ty wine Well, I might take a train I might take a plane but if I have to walk I'm Im go in to Kan sas ci ty Kan sas ci ty here I come They got a cra zy way of lov in there and I'm gon na get me some They got a cra zy way of lov in there and I'm gon na get me some"	0.611562459
"1957, V. B. Ellis & William F. Lakey - Do You Know My Jesus_"	have you a heart that's wea ry tend ing a load of care are you a soul that's seek ing rest from the bur den you bear do you know my Je sus do you know my friend have you heard he loves you and that He will a bide to the end where is your heart o pil grim what does your light re veal who hears you calling for com fort when naught but sor row you feel do you know my Je sus do you know my friend have you heard he loves you and that He will a bide to the end who knows your dis a point ments who hears each time you cry who un der stands your heart aches who dries the tears from your eyes do you know my Je sus do you know my friend have you heard he loves you and that He will a bide to the end	0.610459112
"1976, Bob McGee - Emmanuel"	Em man u el Em man u el His name is called Em man u el God with us re vealed in us His name is called Em man u el. Em man u el Em man u el His name is called Em man u el God with us re vealed in us His name is called Em man u el.	0.53197085
A-Ha - Take On Me	Talk ing away I don't know what I'm to say I'll say it an y way To day's an o ther day to find you Shy ing a way I'll be coming for you love OK Take on me (take on me) Take me on (take on me) I'll be gone in a day or two 3.Oh 2.So	0.745929849
"A. Hume, P. Livingstone - A Guid New Year"	"1.A Guid New Year to ane and a' An' mony may ye see An' during a' the years to come, O happy may ye be An' may ye ne'er hae cause to mourn To sigh or shed a tear, To ane an' a' baith great an' sma' A hearty guid ny New Year. A Guid New Year to ane an' a' An' mony may ye see; An' during a' the years to come, O happy may ye be."	0.748798628
"A. Manzanero, Sid Wayne - It's Impossible"	"It's impossible,tell the sun to leave the sky it's just impossible It's impossible ask a baby not to cry, it's just impossible. Can I hold you closer to me, and not feel you going through me, split the second that I never think of you? Oh how impossible. Can the ocean keep from rushing to the shore? It's just impossible. If I had you, could I ever want for more?It's just impossible.And tomorrow should you ask me for the world, somehow I'd get it, I would sell my very soul and not regret it, for to live without your love is just impossible possible impossible. Mm, Impossible."	0.523049534
"A.H.Gibbs, Joe Grey & Leo Wood - Runnin' Wild"	"Runnin' Wild, Lost control, Runnin' wild might y bold, Feel in' gay reck less too Care free mind all the time, nev er blue Al ways goin' don't know where,Always showin' I don't care Don't love no bod y, It's not worth while, All aloneRunnin' Wild."	0.710284854
"A.P.Carter, Don Marcotte - I'm Thinking Tonight Of My Blue Eyes"	"Ever since he went away I've been thinking night and day of the day when he""ll come back to me Oh, I'm thinking tonight of my blue eyes who is dreaming far over the sea Oh I'm thinking tonight of my blue eyes and I wonder if he thinks of me Quiet moon up above shining down on my love tell him I'll wait til he comes home to stay Oh I'm thinking tonight of my blue eyes and I wonder if he thinks of me Oh I""m me"	0.609239371
"A.P.Herbert, Henry Sullivan - A Nice Cup of Tea"	I lke a nice cup of tea in the morning for to start the day you see and at halfpast eleven well my idea of heaven is a nice cup of tea I like a nice cup of tea with my tea and when its time for bed theres a lot to be said for a nice cup of tea.	0.783795248
"A.S.Sullivan, W.S.Gilbert - With Cat-like Tread"	"With catlike tread upon our prey we steal, in silence dread our cautious way we feel! No sound at all, we never speak a word. A fly's footfall would be distinctly heard. (Taranta ra, tarantara) So stealthily the pirate creeps while all the household soundly sleeps. Come, friends who plough the sea, Truce to navigation, Take another station, let's vary pira cee, with a little burglaree! piracee with a little burglaree! tinctly heard Come friends who plough the sea, Truce to navigation, Take another station, Let's vary piracee with a little burglaree! With catlike tread upon our prey we steal. In silence dread our cautious way we"	0.62578259
"A.Singer, J.Medora, D.White - At The Hop"	"Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah, At The Hop Well you can rock it, you can roll it, do the stomp and even stroll it, At The Hop When the record starts aspinnin' you calypso when you chicken, At The Hop. Do the dance sensachicks tion that is sweepin the nation, At The Hop) Let's go to the hop! (Oh, baby) Let's go to the hop! (Oh, baby) Let's go to the hop! (Oh, baby) Let's go to the hop! (Oh, baby) Ah, Ah, Let's go to the hop! 2..Well you can Let's go to the hop!"	0.589100823
Aaron - U-Turn (Lili)	"Lili, take another walk out of your fake world please put all the drugs out of your hand You'll see that you can breath without no backup so much stuff you got to understand For ev'ry step in any walk any town of any thought I'll be your guide for ev'ry street of any scene any place you've never been I'll be your guide Lili, you know there's still a place for people like us the same blood runs in ev'ry hand you see it's not the wings that make the angel just have to move the bats out of your head For ev'ry step in any walk any town of any thought I'll be your guide for ev'ry street of any scene any place you've never been I'll be your guide Lili, easy as a kiss we'll find a answer put all your fears back in the shade Oh don't become a ghost without no colour cause you're the best paint life ever made For ev'ry step in any walk any town of any thought I'll be your guide for ev'ry street of any scene any place you've never been I'll be your guide"	0.373033433
